2011-01-27 00:54:54 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/financeiro/views/elements/buttons.ctp, line 5]
2011-01-27 01:06:20 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/financeiro/views/elements/buttons.ctp, line 5]
2011-01-27 01:12:30 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/financeiro/views/elements/buttons.ctp, line 5]
2011-01-27 01:22:14 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/financeiro/views/elements/buttons.ctp, line 5]
2011-01-27 01:27:41 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/financeiro/views/elements/buttons.ctp, line 5]
2011-01-27 01:27:51 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/financeiro/views/elements/buttons.ctp, line 5]
2011-01-27 01:28:40 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/financeiro/views/elements/buttons.ctp, line 5]
2011-01-27 01:29:49 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/financeiro/views/elements/buttons.ctp, line 5]
2011-01-27 01:29:53 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/financeiro/views/elements/buttons.ctp, line 5]
2011-01-27 01:29:55 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/financeiro/views/elements/buttons.ctp, line 5]
2011-01-27 01:44:02 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/financeiro/views/elements/buttons.ctp, line 5]
2011-01-27 01:47:45 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/financeiro/views/elements/buttons.ctp, line 5]
2011-01-27 01:47:59 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/financeiro/views/elements/buttons.ctp, line 5]
2011-01-27 01:57:07 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/financeiro/views/elements/buttons.ctp, line 5]
2011-01-27 15:14:03 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/financeiro/views/elements/buttons.ctp, line 5]
2011-01-27 15:16:43 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/financeiro/views/elements/buttons.ctp, line 5]
2011-01-27 15:17:05 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/financeiro/views/elements/buttons.ctp, line 5]
2011-01-27 15:22:13 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/financeiro/views/elements/buttons.ctp, line 5]
2011-01-27 15:24:21 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/financeiro/views/elements/buttons.ctp, line 5]
2011-01-27 15:57:16 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/financeiro/views/elements/buttons.ctp, line 5]
2011-01-27 15:57:40 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/financeiro/views/elements/buttons.ctp, line 5]
2011-01-27 16:12:49 Notice: Notice (8): Undefined index: prefix in [/home/diogo/Develop/Cake13/financeiro/views/elements/buttons.ctp, line 5]
2011-01-27 17:06:25 Notice: Notice (8): Undefined index: action in [/home/diogo/Develop/Cake13/cake/dispatcher.php, line 269]
2011-01-27 17:06:25 Notice: Notice (8): Undefined index: controller in [/home/diogo/Develop/Cake13/cake/dispatcher.php, line 121]
2011-01-27 17:06:25 Notice: Notice (8): Undefined index: action in [/home/diogo/Develop/Cake13/cake/dispatcher.php, line 269]
2011-01-27 17:06:25 Notice: Notice (8): Undefined index: controller in [/home/diogo/Develop/Cake13/cake/dispatcher.php, line 121]
2011-01-27 17:06:58 Notice: Notice (8): Undefined index: action in [/home/diogo/Develop/Cake13/cake/dispatcher.php, line 269]
